# Redshift, Select Output
18.08000000, Snapshot
17.77892271, Snipshot
17.48944598, Snipshot
17.21087122, Snipshot
16.94255495, Snipshot
16.68390642, Snipshot
16.43438025, Snipshot
16.19347069, Snipshot
15.96071423, Snipshot
15.73567544, Snipshot
15.51795394, Snipshot
15.30717600, Snipshot
15.28000000, Snapshot
15.10299387, Snipshot
14.90508357, Snipshot
14.71314231, Snipshot
14.52688692, Snipshot
14.34605286, Snipshot
14.17039175, Snipshot
13.99967087, Snipshot
13.83367142, Snipshot
13.67218806, Snipshot
13.51502720, Snipshot
13.36200659, Snipshot
13.21295442, Snipshot
13.06770858, Snipshot
13.06000000, Snapshot
12.92611578, Snipshot
12.78803138, Snipshot
12.65331793, Snipshot
12.52184581, Snipshot
12.39349196, Snipshot
12.26813960, Snipshot
12.14567818, Snipshot
12.02600233, Snipshot
11.90901192, Snipshot
11.79461193, Snipshot
11.68271162, Snipshot
11.57322481, Snipshot
11.46606906, Snipshot
11.36116625, Snipshot
11.26000000, Snapshot
11.25844131, Snipshot
11.15782273, Snipshot
11.05924239, Snipshot
10.96263492, Snipshot
10.86793785, Snipshot
10.77509136, Snipshot
10.68403831, Snipshot
10.59472401, Snipshot
10.50709559, Snipshot
10.42110298, Snipshot
10.33669770, Snipshot
10.25383348, Snipshot
10.17246552, Snipshot
10.09255124, Snipshot
10.01404961, Snipshot
9.93692077, Snipshot
9.86112691, Snipshot
9.79000000, Snapshot
9.78663149, Snipshot
9.71339910, Snipshot
9.64139579, Snipshot
9.57058891, Snipshot
9.50094700, Snipshot
9.43243959, Snipshot
9.36503745, Snipshot
9.29871224, Snipshot
9.23343678, Snipshot
9.16918453, Snipshot
9.10593037, Snipshot
9.04364948, Snipshot
8.98231812, Snipshot
8.92191327, Snipshot
8.86241287, Snipshot
8.80379533, Snipshot
8.74603986, Snipshot
8.68912642, Snipshot
8.63303548, Snipshot
8.57774814, Snipshot
8.57000000, Snapshot
8.52324607, Snipshot
8.46951178, Snipshot
8.41652789, Snipshot
8.36427766, Snipshot
8.31274527, Snipshot
8.26191496, Snipshot
8.21177138, Snipshot
8.16229996, Snipshot
8.11348623, Snipshot
8.06531657, Snipshot
8.01777715, Snipshot
7.97085500, Snipshot
7.92453753, Snipshot
7.87881214, Snipshot
7.83366684, Snipshot
7.78909014, Snipshot
7.74507044, Snipshot
7.70159667, Snipshot
7.65865823, Snipshot
7.61624441, Snipshot
7.57434529, Snipshot
7.54000000, Snapshot
7.53295066, Snipshot
7.49205113, Snipshot
7.45163714, Snipshot
7.41169944, Snipshot
7.37222928, Snipshot
7.33321785, Snipshot
7.29465667, Snipshot
7.25653759, Snipshot
7.21885231, Snipshot
7.18159321, Snipshot
7.14475254, Snipshot
7.10832276, Snipshot
7.07229666, Snipshot
7.03666706, Snipshot
7.00142709, Snipshot
6.96656995, Snipshot
6.93208887, Snipshot
6.89797761, Snipshot
6.86422980, Snipshot
6.83083915, Snipshot
6.79779974, Snipshot
6.76510572, Snipshot
6.73275134, Snipshot
6.70073087, Snipshot
6.67000000, Snapshot
6.66903894, Snipshot
6.63767008, Snipshot
6.60661911, Snipshot
6.57588094, Snipshot
6.54545047, Snipshot
6.51532278, Snipshot
6.48549322, Snipshot
6.45595692, Snipshot
6.42670936, Snipshot
6.39774600, Snipshot
6.36906254, Snipshot
6.34065456, Snipshot
6.31251790, Snipshot
6.28464842, Snipshot
6.25704204, Snipshot
6.22969493, Snipshot
6.20260307, Snipshot
6.17576265, Snipshot
6.14917010, Snipshot
6.12282164, Snipshot
6.09671379, Snipshot
6.07084292, Snipshot
6.04520578, Snipshot
6.01979880, Snipshot
5.99461882, Snipshot
5.96966258, Snipshot
5.94492692, Snipshot
5.92040871, Snipshot
5.92000000, Snapshot
5.89610490, Snipshot
5.87201257, Snipshot
5.84812860, Snipshot
5.82445033, Snipshot
5.80097482, Snipshot
5.77769927, Snipshot
5.75462112, Snipshot
5.73173754, Snipshot
5.70904597, Snipshot
5.68654385, Snipshot
5.66422861, Snipshot
5.64209781, Snipshot
5.62014903, Snipshot
5.59837986, Snipshot
5.57678803, Snipshot
5.55537103, Snipshot
5.53412681, Snipshot
5.51305306, Snipshot
5.49214765, Snipshot
5.47140839, Snipshot
5.45083313, Snipshot
5.43041990, Snipshot
5.41016651, Snipshot
5.39007114, Snipshot
5.37013172, Snipshot
5.35034635, Snipshot
5.33071309, Snipshot
5.31123013, Snipshot
5.29189556, Snipshot
5.28000000, Snapshot
5.27270761, Snipshot
5.25366462, Snipshot
5.23476467, Snipshot
5.21600610, Snipshot
5.19738725, Snipshot
5.17890643, Snipshot
5.16056203, Snipshot
5.14235240, Snipshot
5.12427590, Snipshot
5.10633121, Snipshot
5.08851659, Snipshot
5.07083053, Snipshot
5.05327170, Snipshot
5.03583847, Snipshot
5.01852951, Snipshot
5.00134333, Snipshot
4.98427859, Snipshot
4.96733392, Snipshot
4.95050792, Snipshot
4.93379941, Snipshot
4.91720684, Snipshot
4.90072915, Snipshot
4.88436492, Snipshot
4.86811290, Snipshot
4.85197196, Snipshot
4.83594091, Snipshot
4.82001838, Snipshot
4.80420332, Snipshot
4.78849460, Snipshot
4.77289096, Snipshot
4.75739143, Snipshot
4.74199475, Snipshot
4.72669988, Snipshot
4.72000000, Snapshot
4.71150578, Snipshot
4.69641129, Snipshot
4.68141552, Snipshot
4.66651727, Snipshot
4.65171569, Snipshot
4.63700966, Snipshot
4.62239821, Snipshot
4.60788044, Snipshot
4.59345527, Snipshot
4.57912185, Snipshot
4.56487921, Snipshot
4.55072643, Snipshot
4.53666270, Snipshot
4.52268688, Snipshot
4.50879836, Snipshot
4.49499615, Snipshot
4.48127931, Snipshot
4.46764716, Snipshot
4.45409875, Snipshot
4.44063327, Snipshot
4.42724990, Snipshot
4.41394791, Snipshot
4.40072645, Snipshot
4.38758478, Snipshot
4.37452208, Snipshot
4.36153759, Snipshot
4.34863063, Snipshot
4.33580034, Snipshot
4.32304614, Snipshot
4.31036716, Snipshot
4.29776273, Snipshot
4.28523230, Snipshot
4.27277492, Snipshot
4.26039014, Snipshot
4.24807713, Snipshot
4.24000000, Snapshot
4.23583525, Snipshot
4.22366396, Snipshot
4.21156239, Snipshot
4.19953009, Snipshot
4.18756637, Snipshot
4.17567058, Snipshot
4.16384216, Snipshot
4.15208040, Snipshot
4.14038475, Snipshot
4.12875464, Snipshot
4.11718940, Snipshot
4.10568857, Snipshot
4.09425154, Snipshot
4.08287762, Snipshot
4.07156639, Snipshot
4.06031729, Snipshot
4.04912974, Snipshot
4.03800317, Snipshot
4.02693710, Snipshot
4.01593097, Snipshot
4.00498426, Snipshot
3.99409648, Snipshot
3.98326705, Snipshot
3.97249556, Snipshot
3.96178148, Snipshot
3.95112432, Snipshot
3.94052362, Snipshot
3.92997879, Snipshot
3.91948950, Snipshot
3.90905516, Snipshot
3.89867544, Snipshot
3.88834976, Snipshot
3.87807776, Snipshot
3.86785897, Snipshot
3.85769288, Snipshot
3.84757908, Snipshot
3.83751721, Snipshot
3.82750677, Snipshot
3.81754741, Snipshot
3.81000000, Snapshot
3.80763862, Snipshot
3.79778003, Snipshot
3.78797126, Snipshot
3.77821187, Snipshot
3.76850148, Snipshot
3.75883964, Snipshot
3.74922603, Snipshot
3.73966031, Snipshot
3.73014192, Snipshot
3.72067068, Snipshot
3.71124603, Snipshot
3.70186778, Snipshot
3.69253543, Snipshot
3.68324874, Snipshot
3.67400724, Snipshot
3.66481058, Snipshot
3.65565853, Snipshot
3.64655064, Snipshot
3.63748655, Snipshot
3.62846601, Snipshot
3.61948863, Snipshot
3.61055409, Snipshot
3.60166204, Snipshot
3.59281216, Snipshot
3.58400416, Snipshot
3.57523770, Snipshot
3.56651246, Snipshot
3.55782816, Snipshot
3.54918447, Snipshot
3.54058102, Snipshot
3.53201765, Snipshot
3.52349397, Snipshot
3.51500968, Snipshot
3.50656450, Snipshot
3.49815811, Snipshot
3.48979033, Snipshot
3.48146076, Snipshot
3.47316922, Snipshot
3.46491533, Snipshot
3.45669881, Snipshot
3.44851953, Snipshot
3.44037707, Snipshot
3.43227122, Snipshot
3.43000000, Snapshot
3.42420177, Snipshot
3.41616833, Snipshot
3.40817076, Snipshot
3.40020874, Snipshot
3.39228206, Snipshot
3.38439039, Snipshot
3.37653359, Snipshot
3.36871131, Snipshot
3.36092334, Snipshot
3.35316948, Snipshot
3.34544946, Snipshot
3.33776303, Snipshot
3.33010998, Snipshot
3.32249004, Snipshot
3.31490301, Snipshot
3.30734866, Snipshot
3.29982674, Snipshot
3.29233705, Snipshot
3.28487939, Snipshot
3.27745348, Snipshot
3.27005910, Snipshot
3.26269613, Snipshot
3.25536425, Snipshot
3.24806330, Snipshot
3.24079308, Snipshot
3.23355334, Snipshot
3.22634395, Snipshot
3.21916459, Snipshot
3.21201515, Snipshot
3.20489537, Snipshot
3.19780511, Snipshot
3.19074416, Snipshot
3.18371228, Snipshot
3.17670935, Snipshot
3.16973509, Snipshot
3.16278939, Snipshot
3.15587202, Snipshot
3.14898277, Snipshot
3.14212154, Snipshot
3.13528807, Snipshot
3.12848220, Snipshot
3.12170375, Snipshot
3.11495257, Snipshot
3.10822841, Snipshot
3.10153120, Snipshot
3.09486071, Snipshot
3.09000000, Snapshot
3.08821675, Snipshot
3.08159919, Snipshot
3.07500777, Snipshot
3.06844246, Snipshot
3.06190303, Snipshot
3.05538931, Snipshot
3.04890111, Snipshot
3.04243832, Snipshot
3.03600075, Snipshot
3.02958828, Snipshot
3.02320071, Snipshot
3.01683787, Snipshot
3.01049964, Snipshot
3.00418588, Snipshot
2.99789643, Snipshot
2.99163108, Snipshot
2.98538978, Snipshot
2.97917227, Snipshot
2.97297852, Snipshot
2.96680831, Snipshot
2.96066147, Snipshot
2.95453791, Snipshot
2.94843750, Snipshot
2.94236009, Snipshot
2.93630551, Snipshot
